gender,age,height,tattoos,sword.type,eyepatch,beard.length
male,24,171.85,13,cutlass,1,23
male,24,169.44,6,cutlass,1,23
male,24,173.7,12,cutlass,1,20
male,24,168.3,9,cutlass,1,15
male,24,175.82,8,cutlass,0,15
male,24,178.42,7,cutlass,0,14
male,24,171.92,12,cutlass,0,25
female,24,175.87,10,cutlass,0,1
female,24,163.57,9,cutlass,1,0
female,24,167.67,9,cutlass,1,0
male,24,164.6,12,cutlass,0,17
male,24,169.04,7,cutlass,0,13
female,24,169.73,13,cutlass,1,0
female,24,171.15,6,cutlass,1,0
male,24,184.35,8,cutlass,0,24
male,24,168.7,9,cutlass,1,27
female,24,157.72,3,banana,1,0
male,24,160.54,10,cutlass,0,25
male,24,175.74,14,cutlass,1,18
female,24,171.87,6,cutlass,1,2
female,24,159.75,2,banana,0,1
male,24,170.63,6,cutlass,0,15
male,24,168.15,13,cutlass,1,25
male,24,177.35,10,sabre,1,8
female,24,148.61,13,cutlass,1,1
female,24,179.7,7,cutlass,1,0
male,24,181.82,5,cutlass,0,8
male,24,172.04,7,cutlass,1,18
male,24,184.65,14,cutlass,1,19
male,24,188,11,cutlass,1,17
male,24,184.44,7,cutlass,1,16
male,24,181.4,13,cutlass,1,14
male,24,168.9,15,cutlass,0,32
male,24,156.8,11,cutlass,0,18
male,24,174.31,9,cutlass,1,16
male,24,180.18,8,sabre,0,21
male,24,186.27,13,cutlass,0,17
female,25,162.49,10,cutlass,1,1
female,25,129.83,6,sabre,0,1
male,25,170.51,8,cutlass,1,23
male,25,169.03,7,cutlass,1,31
male,25,161.84,6,scimitar,1,6
female,25,158.13,12,cutlass,1,2
male,25,182.91,11,cutlass,0,29
female,25,164.38,15,cutlass,0,0
male,25,169.31,10,cutlass,1,25
female,25,169.53,9,cutlass,1,0
female,25,164.72,8,cutlass,1,0
male,25,162.47,9,cutlass,0,26
female,25,181.49,14,cutlass,1,0
female,25,158.35,9,cutlass,1,0
male,25,162.19,9,cutlass,1,22
female,25,174.78,12,cutlass,1,1
male,25,184.39,10,cutlass,1,21
male,25,178.51,8,cutlass,1,21
female,25,166.87,10,cutlass,0,0
female,25,160.26,8,cutlass,1,1
male,25,170.64,7,cutlass,1,18
female,25,170.81,6,scimitar,0,0
female,25,155.25,4,cutlass,1,0
male,25,195.06,9,cutlass,0,21
female,25,158.21,10,cutlass,1,0
male,25,195.36,5,cutlass,1,9
male,25,164.53,10,cutlass,1,16
male,25,184.63,11,cutlass,1,20
male,25,174.57,11,cutlass,1,13
female,25,176.26,8,cutlass,0,0
female,25,150.92,14,cutlass,1,0
male,25,188.69,3,banana,1,11
female,25,165.39,14,sabre,1,0
male,25,169.45,11,cutlass,1,16
female,25,147.98,11,cutlass,0,0
female,25,166.28,5,scimitar,1,0
female,25,149.05,12,cutlass,0,1
male,25,189.06,10,cutlass,1,16
male,25,182.71,13,cutlass,1,20
female,25,173.96,10,cutlass,0,1
female,25,157.17,6,banana,1,0
male,25,190.64,9,cutlass,1,9
female,25,147.38,12,cutlass,1,0
male,25,209.06,8,cutlass,1,16
male,25,177.83,0,cutlass,1,7
male,25,181.28,11,cutlass,0,25
male,25,183.13,6,cutlass,1,21
female,25,179.84,9,cutlass,1,1
male,25,177.18,0,sabre,0,8
female,25,130.41,14,cutlass,1,2
male,25,178.38,12,cutlass,0,23
male,25,183.46,6,cutlass,1,28
female,25,171.83,5,scimitar,1,0
male,25,181.83,11,sabre,0,16
female,25,159.39,11,cutlass,0,0
female,25,161.37,11,cutlass,1,0
male,25,190.45,13,cutlass,1,33
male,26,169.95,10,cutlass,1,19
male,26,190.2,7,cutlass,1,17
male,26,177.99,9,cutlass,1,19
male,26,175.45,14,cutlass,0,27
female,26,153.54,10,cutlass,1,0
female,26,134.87,12,cutlass,1,1
female,26,158.6,15,cutlass,0,0
male,26,170.25,9,cutlass,1,15
male,26,182.52,15,cutlass,0,20
male,26,178.15,10,sabre,1,15
male,26,171.98,4,cutlass,1,11
male,26,162.77,7,scimitar,0,18
male,26,173.92,15,cutlass,1,25
female,26,150.86,11,cutlass,1,1
female,26,157.1,13,cutlass,0,0
male,26,161.51,11,cutlass,1,21
female,26,176.27,7,cutlass,1,0
female,26,158.18,8,sabre,0,0
male,26,183.98,9,cutlass,1,18
female,26,167.04,7,cutlass,1,1
female,26,153.9,7,cutlass,1,1
female,26,173.1,10,cutlass,1,0
female,26,161.73,10,cutlass,0,1
female,26,156.34,8,cutlass,0,0
female,26,150.93,7,cutlass,1,0
female,26,167.45,5,cutlass,0,0
male,26,175.07,9,banana,1,14
male,26,170.11,8,cutlass,0,21
female,26,155.63,9,cutlass,1,0
male,26,196.75,7,cutlass,1,13
female,26,163.98,10,cutlass,1,0
male,26,167,13,cutlass,1,23
male,26,178.43,3,cutlass,0,21
female,26,155.46,13,cutlass,1,3
male,26,157.64,8,scimitar,0,20
male,26,177.86,7,cutlass,1,21
male,26,170.34,13,cutlass,1,23
female,26,171.92,15,cutlass,0,1
male,26,201.31,4,cutlass,1,14
female,26,158.21,2,banana,1,0
male,26,185.07,8,cutlass,0,14
female,26,160.75,6,cutlass,0,0
female,26,157.34,11,sabre,1,0
female,26,169.18,4,cutlass,1,0
female,26,176.13,9,cutlass,1,1
female,26,172.41,7,cutlass,0,0
male,26,180.91,11,cutlass,1,19
male,26,171.16,10,sabre,1,19
male,26,179.01,13,cutlass,1,23
male,26,193.96,1,banana,1,14
male,26,169.34,11,cutlass,1,25
female,26,166.38,10,cutlass,0,0
female,26,188.11,10,cutlass,1,0
female,26,161.2,4,cutlass,1,0
female,26,172.2,11,cutlass,1,1
female,26,160.9,6,cutlass,1,0
male,26,177.6,11,cutlass,1,24
female,26,161.85,17,scimitar,1,1
male,26,175.82,3,sabre,1,16
female,26,165.18,13,cutlass,1,0
male,26,185.37,10,cutlass,1,22
male,26,168.35,8,cutlass,1,18
male,26,168.8,17,cutlass,0,30
female,26,168.68,7,cutlass,0,0
male,26,161.43,12,cutlass,1,16
female,26,177.58,9,cutlass,0,0
male,26,177.81,11,cutlass,0,27
male,26,176.28,6,banana,0,26
male,26,173.1,13,cutlass,0,23
male,26,178.83,14,cutlass,0,20
female,27,176.59,13,cutlass,1,1
male,27,166.62,8,banana,1,11
male,27,191.01,11,cutlass,1,15
male,27,156.65,1,cutlass,1,8
male,27,172.41,8,cutlass,1,20
female,27,148.37,5,scimitar,0,0
female,27,146.73,6,scimitar,1,0
female,27,162.91,8,cutlass,1,1
male,27,176.3,2,cutlass,1,15
female,27,187.3,8,cutlass,1,0
female,27,173.52,12,cutlass,1,0
female,27,163.79,16,cutlass,1,1
male,27,164.99,8,cutlass,0,14
male,27,178.91,2,banana,1,11
male,27,166.41,10,cutlass,1,24
male,27,182.72,11,cutlass,1,20
male,27,197.43,12,cutlass,1,22
male,27,151.07,6,cutlass,0,15
female,27,166.91,11,cutlass,0,0
female,27,156.09,12,cutlass,1,0
male,27,178.78,4,banana,1,14
female,27,171.87,9,cutlass,1,0
female,27,160.7,11,cutlass,1,0
female,27,165.05,7,cutlass,1,1
male,27,162.35,10,cutlass,0,19
female,27,160.81,9,cutlass,1,0
male,27,183.14,8,cutlass,1,23
male,27,183.4,3,sabre,1,13
female,27,149.71,9,cutlass,0,0
male,27,172.86,11,cutlass,0,19
female,27,150.3,10,sabre,1,1
male,27,173.5,12,cutlass,0,30
male,27,159.6,6,cutlass,1,17
female,27,156.34,6,banana,1,0
male,27,182.51,8,cutlass,0,22
female,27,153.52,9,sabre,1,0
female,27,166.94,6,scimitar,1,0
female,27,177,5,cutlass,0,1
male,27,165.95,7,cutlass,1,23
female,27,177.11,9,cutlass,0,1
male,27,169.74,12,cutlass,1,22
male,27,190.79,11,cutlass,0,25
male,27,177.92,6,cutlass,0,15
male,27,189.77,10,cutlass,0,21
female,27,162.35,12,cutlass,1,0
male,27,195.19,12,cutlass,1,30
female,27,172.66,13,cutlass,0,0
female,27,150.98,3,cutlass,1,0
female,27,181.81,9,cutlass,0,1
male,27,191.95,10,cutlass,1,23
male,27,160.64,10,cutlass,0,8
male,27,168.4,4,sabre,1,14
male,27,181.46,12,cutlass,1,24
female,27,161.69,13,cutlass,1,0
female,27,178.72,6,cutlass,1,1
male,27,192.28,7,cutlass,0,16
male,27,185.37,6,cutlass,0,15
female,27,151.08,4,sabre,1,0
female,27,167.69,12,cutlass,1,0
female,27,168.58,6,cutlass,0,0
female,27,148.49,15,cutlass,0,0
female,27,164.02,10,cutlass,0,1
male,27,168.93,10,cutlass,1,22
male,27,180.87,12,cutlass,0,14
male,27,189.03,8,cutlass,0,23
female,27,168.83,8,cutlass,1,1
male,27,200.59,12,cutlass,1,25
male,27,187.79,12,cutlass,0,22
male,27,167.9,6,cutlass,0,7
female,27,162.49,9,cutlass,1,0
female,27,172.45,8,cutlass,1,1
male,27,183.6,5,sabre,1,22
female,27,170.04,7,cutlass,0,1
male,27,185.14,9,cutlass,1,24
female,27,162.06,6,cutlass,1,0
male,27,179,7,cutlass,0,17
female,27,149.63,11,cutlass,1,2
male,27,179.29,13,cutlass,0,30
male,28,173.11,9,cutlass,1,16
female,28,164.57,12,cutlass,0,1
male,28,178.66,4,cutlass,1,8
male,28,167.63,8,cutlass,1,17
female,28,151.61,8,cutlass,0,1
male,28,179.63,7,cutlass,0,14
female,28,148.85,9,cutlass,0,0
female,28,159.63,10,cutlass,0,0
male,28,167.41,5,cutlass,0,11
female,28,163.18,4,sabre,1,0
female,28,150.1,11,cutlass,1,0
male,28,185.95,10,cutlass,0,22
male,28,181.82,15,cutlass,1,33
female,28,135.15,11,cutlass,1,0
male,28,164.26,14,cutlass,1,20
female,28,163.97,11,cutlass,1,0
male,28,167.53,11,cutlass,1,21
female,28,156.16,9,sabre,0,0
male,28,182.89,11,cutlass,1,23
female,28,159.08,6,scimitar,1,1
female,28,174.65,14,cutlass,0,0
female,28,158.88,6,sabre,0,0
female,28,171.99,9,cutlass,1,1
male,28,180.11,9,cutlass,0,14
male,28,177.32,11,sabre,0,22
female,28,162.36,10,cutlass,1,0
female,28,177.32,8,cutlass,0,0
female,28,163.18,9,cutlass,1,0
male,28,200.57,7,cutlass,1,15
female,28,169.67,10,cutlass,1,0
female,28,162.51,11,cutlass,1,1
male,28,172.49,7,banana,0,20
male,28,158.58,10,cutlass,1,20
female,28,163.13,10,cutlass,1,0
male,28,158.35,5,cutlass,1,20
male,28,173.52,12,cutlass,1,16
male,28,193.82,0,cutlass,1,0
female,28,171.86,14,cutlass,0,1
male,28,192.92,11,cutlass,1,27
female,28,156.16,6,cutlass,0,1
female,28,177.86,4,sabre,0,0
male,28,167.22,9,cutlass,0,17
male,28,190.74,9,cutlass,0,22
female,28,170.65,6,sabre,1,0
female,28,140.39,13,cutlass,0,0
female,28,155.49,11,sabre,0,1
male,28,182.34,10,cutlass,1,23
female,28,177.45,15,cutlass,1,2
male,28,165.89,8,cutlass,1,18
male,28,185.51,7,cutlass,1,21
female,28,175.89,1,sabre,0,0
female,28,151.81,5,cutlass,1,0
male,28,172.5,5,cutlass,1,25
male,28,189.83,8,cutlass,1,23
male,28,178.36,11,cutlass,1,22
male,28,178.58,9,cutlass,1,11
female,28,150.14,15,cutlass,0,1
male,28,196.88,1,sabre,1,12
female,28,177.21,11,cutlass,1,0
female,28,176.07,13,cutlass,1,0
male,28,171.67,12,scimitar,0,21
female,28,150.52,13,cutlass,1,0
female,28,172.55,7,cutlass,1,0
female,28,171.6,8,banana,0,0
male,28,176.22,5,cutlass,1,8
male,28,185.99,11,cutlass,0,17
female,28,159.25,9,cutlass,1,0
male,28,183.56,10,cutlass,1,19
male,29,169.89,7,cutlass,1,18
female,29,170.84,14,cutlass,0,2
male,29,187.63,12,cutlass,1,21
male,29,174.55,12,cutlass,1,18
male,29,188.16,18,cutlass,0,26
female,29,160.15,12,cutlass,0,0
female,29,154.84,10,cutlass,0,0
female,29,152.03,7,cutlass,0,0
male,29,170.81,6,cutlass,0,8
male,29,178.71,5,cutlass,1,12
male,29,196.66,10,cutlass,1,27
female,29,183.21,13,cutlass,1,0
female,29,174.16,12,cutlass,1,0
female,29,158.21,11,cutlass,1,0
male,29,183.59,15,cutlass,1,23
female,29,153.28,11,cutlass,0,1
male,29,200.62,9,sabre,1,14
male,29,184.62,10,cutlass,1,13
female,29,163.73,13,scimitar,1,1
female,29,160.42,10,cutlass,0,1
male,29,177.26,8,cutlass,1,21
female,29,159,4,cutlass,1,0
female,29,165.49,8,scimitar,0,0
male,29,170.47,11,cutlass,1,18
female,29,181.25,7,cutlass,1,1
female,29,168.49,13,cutlass,1,1
female,29,167.91,9,cutlass,1,0
male,29,180.37,4,sabre,1,20
female,29,169.93,7,sabre,0,0
female,29,160.18,7,cutlass,0,0
male,29,192.45,7,cutlass,1,17
female,29,138.52,12,cutlass,1,0
female,29,150.74,9,cutlass,1,0
male,29,172.46,11,cutlass,0,27
male,29,172.55,14,cutlass,0,22
male,29,177.9,5,cutlass,1,28
male,29,168.89,11,cutlass,0,22
male,29,163.31,6,cutlass,1,17
female,29,155.78,14,cutlass,1,0
male,29,176.01,9,cutlass,0,15
female,29,157.6,6,cutlass,0,0
female,29,152.83,13,cutlass,0,0
male,29,180.31,17,cutlass,1,26
female,29,177.49,10,cutlass,1,0
female,29,158.58,9,cutlass,0,0
male,29,166.85,9,cutlass,0,18
female,29,152.55,11,cutlass,1,0
male,29,182.23,8,cutlass,0,21
female,29,162.57,8,cutlass,1,0
male,29,181.02,11,cutlass,1,22
male,29,171.68,2,scimitar,0,13
female,29,155.76,16,cutlass,1,0
female,29,175.45,12,cutlass,1,1
male,29,184.08,13,cutlass,1,22
female,29,181.33,13,cutlass,1,0
female,29,160.87,14,cutlass,1,1
male,29,164.79,10,cutlass,1,23
male,30,183.52,12,cutlass,1,25
female,30,158.3,7,cutlass,0,0
male,30,177.04,15,cutlass,1,29
female,30,162.6,13,cutlass,1,0
female,30,156.38,9,cutlass,1,0
male,30,188.19,12,cutlass,0,12
female,30,163.22,9,cutlass,0,0
female,30,163.79,17,cutlass,1,1
female,30,171.3,7,cutlass,1,0
male,30,170.09,8,cutlass,1,22
male,30,187.11,8,cutlass,1,17
female,30,176.5,0,cutlass,1,0
female,30,155.91,12,sabre,1,0
male,30,177.05,11,cutlass,0,23
male,30,161.71,17,cutlass,0,34
male,30,189.5,11,cutlass,1,19
male,30,179.01,8,banana,0,24
male,30,195.14,9,cutlass,1,21
female,30,160.36,8,cutlass,1,0
male,30,178.34,12,cutlass,0,21
female,30,179.17,10,cutlass,0,0
female,30,161.54,15,cutlass,0,1
female,30,160.33,13,cutlass,1,0
male,30,175.33,15,cutlass,0,24
male,30,182.27,11,cutlass,1,28
male,30,189.22,8,cutlass,1,20
female,30,148.83,9,cutlass,1,2
female,30,178.34,11,cutlass,1,0
male,30,160.45,6,cutlass,1,15
male,30,188.83,6,cutlass,0,13
male,30,163.83,10,cutlass,0,23
male,30,176.15,11,scimitar,1,20
female,30,164.93,11,cutlass,0,0
male,30,189.52,6,cutlass,0,20
female,30,163.22,16,cutlass,1,1
female,30,164.3,9,cutlass,1,0
female,30,154.28,9,cutlass,1,1
female,30,162.41,11,scimitar,1,1
male,30,143.93,11,cutlass,1,15
male,30,171.2,6,cutlass,1,15
female,30,168.19,5,scimitar,1,0
female,30,163.89,14,cutlass,1,0
female,30,159.42,1,scimitar,0,0
male,30,180.14,14,cutlass,1,25
female,30,163.92,1,sabre,1,0
male,30,174.42,8,cutlass,0,13
female,30,166.17,10,cutlass,1,0
female,30,158.57,11,sabre,1,0
female,30,156.03,9,cutlass,0,0
male,30,184.57,9,cutlass,0,20
female,30,173.19,6,cutlass,1,0
male,30,173.76,11,cutlass,1,24
male,30,168.94,16,cutlass,1,26
female,30,151.54,9,cutlass,0,1
male,30,172.6,12,cutlass,1,30
female,30,170.72,9,cutlass,1,1
female,30,186.3,12,cutlass,1,0
male,30,175.24,9,cutlass,1,24
male,30,189.45,10,cutlass,0,19
male,31,209.25,9,cutlass,0,21
female,31,144.29,2,scimitar,1,2
female,31,158.05,9,cutlass,0,1
female,31,172.52,5,cutlass,1,1
male,31,190.02,13,cutlass,1,24
female,31,158.03,8,cutlass,1,0
male,31,180.68,9,cutlass,1,10
male,31,164.73,13,cutlass,1,24
male,31,184.16,5,cutlass,0,4
male,31,169.92,12,cutlass,0,18
male,31,170.28,4,cutlass,0,16
female,31,172.18,12,cutlass,1,0
female,31,163.24,9,cutlass,1,2
female,31,174,5,banana,1,1
female,31,159.86,10,scimitar,1,0
female,31,156.06,6,scimitar,1,1
male,31,166.22,6,banana,1,18
female,31,159.56,11,cutlass,0,0
female,31,159.8,11,cutlass,1,0
female,31,162.04,10,cutlass,0,2
male,31,173.07,10,cutlass,1,19
female,31,171.91,10,cutlass,0,0
female,31,160.74,6,cutlass,1,1
female,31,144.93,12,cutlass,1,1
male,31,173.92,9,cutlass,1,19
female,31,185.91,9,cutlass,0,0
female,31,182.03,10,cutlass,0,0
female,31,148.32,12,cutlass,1,2
male,31,172.55,11,cutlass,1,29
female,31,176.61,7,banana,0,1
female,31,172.31,9,sabre,0,1
female,31,161.02,13,cutlass,1,0
female,31,157.67,9,cutlass,0,0
male,31,178.12,3,scimitar,1,6
female,31,177.83,13,cutlass,1,0
male,31,169.13,9,sabre,1,22
female,31,166.32,6,scimitar,1,0
male,31,175.2,6,cutlass,0,19
female,31,158.96,4,scimitar,1,0
male,31,166.96,13,cutlass,0,15
female,31,161.43,9,cutlass,1,0
female,31,152.9,10,cutlass,1,1
male,31,177.72,9,cutlass,1,19
female,31,161.87,10,cutlass,1,0
female,31,153.31,16,cutlass,1,0
female,31,154.81,14,cutlass,1,0
female,31,155.42,10,cutlass,1,0
female,31,155.94,7,scimitar,1,0
female,31,168.02,9,cutlass,1,0
male,31,168.52,12,cutlass,0,17
female,31,185.29,12,cutlass,0,1
male,31,177.47,9,cutlass,1,27
male,31,188.38,14,cutlass,1,21
female,31,161.65,15,cutlass,0,0
female,31,161.17,7,scimitar,1,1
female,32,151.83,2,scimitar,1,1
female,32,157.91,6,scimitar,1,0
female,32,165.66,8,cutlass,1,0
male,32,167.12,11,cutlass,0,18
male,32,180.26,14,cutlass,1,25
female,32,148.7,10,banana,1,0
female,32,160.9,12,scimitar,1,0
male,32,167.03,12,cutlass,1,26
female,32,167.24,12,cutlass,1,0
female,32,157.2,12,cutlass,1,1
female,32,178.52,8,cutlass,0,0
female,32,166.98,9,cutlass,1,0
